Learning Rate,Hidden Size,Batch Size,Dropout,Encoding Dim,Avg MAE,Avg Error %
0.01,16,16,0.0,8,0.1414018334236797,474141114.5769698
0.01,16,16,0.1,8,0.30694056045665463,590358493.0136298
0.01,16,16,0.2,8,0.3198643929247742,585238623.4102836
0.01,16,32,0.0,8,0.07623575860094821,297228552.85538185
0.01,16,32,0.1,8,0.25724016988911874,576477776.713536
0.01,16,32,0.2,8,0.30521404688866605,567797103.2787977
0.01,16,64,0.0,8,0.059741970988936355,260451376.72123164
0.01,16,64,0.1,8,0.23058274006135418,567082549.9526055
0.01,16,64,0.2,8,0.29810407665609967,581758482.2732307
0.01,32,16,0.0,8,0.12590329998546762,448683943.8224017
0.01,32,16,0.1,8,0.22707853357109137,567228149.5660645
0.01,32,16,0.2,8,0.306083191910932,566139181.1347278
0.01,32,32,0.0,8,0.03766084833584822,139101962.14140671
0.01,32,32,0.1,8,0.20290680705888448,565316650.6952074
0.01,32,32,0.2,8,0.2556416125274411,574696902.4123284
0.01,32,64,0.0,8,0.03552177390854456,162055221.75225118
0.01,32,64,0.1,8,0.18232143376273596,493314481.7454664
0.01,32,64,0.2,8,0.2346763559581738,560421769.2789481
0.01,64,16,0.0,8,0.09630271281234067,353476670.6521776
0.01,64,16,0.1,8,0.21400885500666617,547365159.664814
0.01,64,16,0.2,8,0.27462460466519656,595276371.1867335
0.01,64,32,0.0,8,0.05270824145832329,209895437.10122418
0.01,64,32,0.1,8,0.15894920025752377,373211931.86928445
0.01,64,32,0.2,8,0.22795673034242608,582884091.8079501
0.01,64,64,0.0,8,0.021840895140738108,80248664.79447296
0.01,64,64,0.1,8,0.12676329230455682,317039569.5419911
0.01,64,64,0.2,8,0.20143473087345978,546934472.8713337
0.005,16,16,0.0,8,0.05873726496571533,268750724.74391854
0.005,16,16,0.1,8,0.2442380802216591,562724496.6736218
0.005,16,16,0.2,8,0.30166442030929963,577851031.192078
0.005,16,32,0.0,8,0.05581076817641164,275374833.9149097
0.005,16,32,0.1,8,0.23035077994404835,573687604.6740049
0.005,16,32,0.2,8,0.29900208674944473,578840667.476923
0.005,16,64,0.0,8,0.04889818103207044,253781118.9565916
0.005,16,64,0.1,8,0.22286230206472135,566403660.6153238
0.005,16,64,0.2,8,0.29206696000392973,570254583.2005192
0.005,32,16,0.0,8,0.04759373368771251,157605520.46164805
0.005,32,16,0.1,8,0.1797219536073756,505272560.3075433
0.005,32,16,0.2,8,0.23726963336403575,579121420.0044557
0.005,32,32,0.0,8,0.01874880684887608,51132370.70397295
0.005,32,32,0.1,8,0.16702375683300075,471696484.09586036
0.005,32,32,0.2,8,0.22280200789884055,568335755.1109369
0.005,32,64,0.0,8,0.014973005955067616,42194650.08574704
0.005,32,64,0.1,8,0.15184741845971636,410567377.8478397
0.005,32,64,0.2,8,0.21830155201828577,572372618.7953117
0.005,64,16,0.0,8,0.032421436638696274,82555382.11318739
0.005,64,16,0.1,8,0.12511155069267876,301533065.8469497
0.005,64,16,0.2,8,0.20697822351969952,557670916.2203517
0.005,64,32,0.0,8,0.01570805960210653,44190442.15874895
0.005,64,32,0.1,8,0.10270506269062132,271473504.334548
0.005,64,32,0.2,8,0.17469488874293487,500984162.01390153
0.005,64,64,0.0,8,0.009052301023564604,21869339.243805934
0.005,64,64,0.1,8,0.09544462932304872,236079167.87290868
0.005,64,64,0.2,8,0.15300913293698576,449243981.2013403
0.001,16,16,0.0,8,0.04289363093881051,245853969.9500513
0.001,16,16,0.1,8,0.21480432512654207,569793099.5898584
0.001,16,16,0.2,8,0.2774549433884552,554210726.239289
0.001,16,32,0.0,8,0.04218550841340725,255621638.8760852
0.001,16,32,0.1,8,0.22077108130158757,560177417.3869846
0.001,16,32,0.2,8,0.28141627245195516,566520291.1410109
0.001,16,64,0.0,8,0.0509357317741008,284424188.94801813
0.001,16,64,0.1,8,0.21741328631935,565054429.9736012
0.001,16,64,0.2,8,0.27669756256257994,566154524.5009321
0.001,32,16,0.0,8,0.008793427386219568,29954538.18865589
0.001,32,16,0.1,8,0.1306481265784836,323840437.88748705
0.001,32,16,0.2,8,0.2070157767481236,571518945.9030688
0.001,32,32,0.0,8,0.006393289942214797,23648877.440810256
0.001,32,32,0.1,8,0.14150404817316578,413915373.47262555
0.001,32,32,0.2,8,0.20609917730056432,560801308.6827596
0.001,32,64,0.0,8,0.010363650756112858,52866778.00957532
0.001,32,64,0.1,8,0.14909288999233777,438138820.1671053
0.001,32,64,0.2,8,0.1998845219979682,566649579.5092814
0.001,64,16,0.0,8,0.007674856861855692,18637895.479929507
0.001,64,16,0.1,8,0.06501397684701149,155639739.56167945
0.001,64,16,0.2,8,0.12332076523043907,360018951.1407558
0.001,64,32,0.0,8,0.007525159199461522,21841230.811637003
0.001,64,32,0.1,8,0.06596110483023074,143237739.39913142
0.001,64,32,0.2,8,0.11102214979377126,320494927.5058731
0.001,64,64,0.0,8,0.006885718334412899,27502914.285402685
0.001,64,64,0.1,8,0.060258108031655454,140092338.64580593
0.001,64,64,0.2,8,0.11479730071122611,339133696.8333312
