mae,error_percentage,predictions
0.016088192249538752,289.01518047332894,"[[ 0.03787345 -0.2651423  -0.19307356 ... -0.3139028  -0.76258093
  -0.26904812]
 [ 0.48700276 -0.2554367  -0.20112957 ... -0.32227716 -0.7501302
  -0.2823913 ]
 [ 1.7110152  -0.2658979  -0.17851274 ...  3.0722945  -0.72221714
  -0.26189926]
 ...
 [ 1.2924838  -0.30173257 -0.21990915 ... -0.31669304 -0.69385856
  -0.30107856]
 [ 0.8657604  -0.29988185 -0.22025573 ... -0.3355429  -0.7314832
  -0.2545585 ]
 [-0.78640777 -0.27222598 -0.19415234 ... -0.33534932  1.3625778
  -0.25311825]]"
0.018930708442318648,649.2527869829843,"[[ 0.06373996 -0.27623296 -0.20453218 ... -0.30043414 -0.784248
  -0.27804083]
 [ 0.4849965  -0.27052236 -0.21005164 ... -0.2923571  -0.7935632
  -0.28074372]
 [ 1.6642435  -0.29847074 -0.19023456 ...  3.077351   -0.73131657
  -0.2598998 ]
 ...
 [ 1.3509736  -0.30765295 -0.18085712 ... -0.38707742 -0.7036436
  -0.28409305]
 [ 0.8716515  -0.25603044 -0.17068093 ... -0.29337516 -0.75975716
  -0.27516466]
 [-0.79721427 -0.2762326  -0.19743225 ... -0.3252208   1.3532794
  -0.26813817]]"
0.012998310296746543,237.38787502361535,"[[ 0.02929847 -0.28030753 -0.19414124 ... -0.32630602 -0.71291226
  -0.25382814]
 [ 0.4717223  -0.27838343 -0.19313444 ... -0.32350603 -0.7142583
  -0.2664834 ]
 [ 1.7015821  -0.2666833  -0.1902502  ...  3.1215613  -0.70678115
  -0.24431017]
 ...
 [ 1.3305233  -0.25746074 -0.18585241 ... -0.3228774  -0.735792
  -0.2500091 ]
 [ 0.8674233  -0.25835526 -0.17979681 ... -0.32194278 -0.7504215
  -0.2961848 ]
 [-0.7849092  -0.27451563 -0.19438207 ... -0.32336244  1.3558104
  -0.2577254 ]]"
0.019767006987141733,665.7256244111048,"[[ 0.09131593 -0.33319518 -0.19294435 ... -0.30850595 -0.79032683
  -0.22412975]
 [ 0.53056407 -0.33258697 -0.19538188 ... -0.32588735 -0.77657455
  -0.22977719]
 [ 1.7473539  -0.30838877 -0.20707679 ...  3.1293473  -0.7732735
  -0.26419678]
 ...
 [ 1.3785262  -0.29730377 -0.19433212 ... -0.27243108 -0.7671121
  -0.26122913]
 [ 0.90385926 -0.3073375  -0.19906276 ... -0.30551818 -0.72249013
  -0.25774783]
 [-0.78570205 -0.29609308 -0.19952804 ... -0.31044114  1.350041
  -0.26652047]]"
0.020240499214412063,347.50232419927005,"[[ 0.09341329 -0.27247477 -0.21594095 ... -0.293236   -0.75837195
  -0.26086816]
 [ 0.5259296  -0.2557221  -0.22814193 ... -0.27871418 -0.7287705
  -0.25437894]
 [ 1.6788484  -0.2581162  -0.2127083  ...  3.1001678  -0.7068788
  -0.23256043]
 ...
 [ 1.1859334  -0.33776695 -0.0746668  ... -0.38853425 -0.83313453
  -0.30144554]
 [ 0.7953676  -0.30733764 -0.16231453 ... -0.38118428 -0.7685287
  -0.2795193 ]
 [-0.7665974  -0.2740736  -0.19783324 ... -0.3288437   1.3621098
  -0.2607456 ]]"
0.01827432443521036,302.0041818076535,"[[ 0.0554809  -0.2978452  -0.22544074 ... -0.35704643 -0.7190073
  -0.21710572]
 [ 0.47667536 -0.29415    -0.22311443 ... -0.33813295 -0.7314525
  -0.23143756]
 [ 1.6729019  -0.2970389  -0.21453229 ...  3.0825603  -0.71622217
  -0.22542048]
 ...
 [ 1.2700448  -0.31571662 -0.17379904 ... -0.33779272 -0.6871491
  -0.21902736]
 [ 0.86715794 -0.3191437  -0.19088688 ... -0.34436798 -0.708822
  -0.22648485]
 [-0.78393507 -0.3086963  -0.20081589 ... -0.33351427  1.3579824
  -0.26305312]]"
0.01982551621985493,310.3877591061552,"[[ 0.08234094 -0.3023461  -0.20822039 ... -0.27407476 -0.73232156
  -0.24323136]
 [ 0.5156239  -0.30900243 -0.1979456  ... -0.28248593 -0.7347809
  -0.24453598]
 [ 1.6726645  -0.29240668 -0.20770621 ...  3.1504598  -0.74412125
  -0.23834455]
 ...
 [ 1.2530112  -0.34731585 -0.09451163 ... -0.3410046  -0.71263593
  -0.25692713]
 [ 0.8279263  -0.33431032 -0.11891955 ... -0.32797617 -0.73467445
  -0.22462684]
 [-0.7130194  -0.27374882 -0.2333493  ... -0.34012514  1.363512
  -0.24063283]]"
0.030887488434594202,639.9318775588756,"[[ 0.01154071 -0.31912822 -0.18778968 ... -0.3263004  -0.73526865
  -0.26958144]
 [ 0.45174798 -0.2950868  -0.18992376 ... -0.32877967 -0.7436638
  -0.28498924]
 [ 1.2917821  -0.29439056 -0.19884133 ...  3.0056884  -0.72399056
  -0.1081762 ]
 ...
 [ 1.0704973  -0.35549647 -0.18426025 ... -0.36049944 -0.75390315
  -0.1969633 ]
 [ 0.58800876 -0.3133283  -0.2134065  ... -0.32988414 -0.7652605
  -0.2687084 ]
 [-0.8167772  -0.2588106  -0.20221478 ... -0.3056997   1.3041563
  -0.27742752]]"
0.021109971459951193,404.5463601175879,"[[ 0.07159589 -0.3273715  -0.18072657 ... -0.3185607  -0.7383668
  -0.26691502]
 [ 0.5164519  -0.3258422  -0.1777822  ... -0.31913406 -0.74119574
  -0.2660241 ]
 [ 1.7415705  -0.3024298  -0.21580793 ...  3.097291   -0.6970392
  -0.2932642 ]
 ...
 [ 1.2988638  -0.3438541  -0.20750521 ... -0.31711668 -0.69209504
  -0.29270488]
 [ 0.85858685 -0.32462245 -0.17535225 ... -0.32078072 -0.70757484
  -0.28917313]
 [-0.7848414  -0.3290944  -0.18533167 ... -0.32090488  1.3486551
  -0.2691734 ]]"
0.006255479289360162,109.6495033667862,"[[ 0.03916419 -0.28336775 -0.20643419 ... -0.31680548 -0.7265428
  -0.26439992]
 [ 0.48102832 -0.2804215  -0.20756349 ... -0.31938106 -0.72484446
  -0.2635948 ]
 [ 1.6964605  -0.28333375 -0.20568642 ...  3.1371026  -0.7413123
  -0.2604368 ]
 ...
 [ 1.3127358  -0.23207283 -0.2107484  ... -0.302033   -0.7384747
  -0.2596898 ]
 [ 0.8920618  -0.28077996 -0.21348362 ... -0.309648   -0.74171805
  -0.26335973]
 [-0.7990513  -0.28463703 -0.20830956 ... -0.31919324  1.361103
  -0.26185903]]"
