Learning Rate,Batch Size,Hidden Size,Dropout,MAE,Accuracy
0.01,16,32,0.0,0.04941147547641458,0.9687999999999999
0.01,16,32,0.1,0.046196339998149,0.9711066666666668
0.01,16,32,0.2,0.04635211293046363,0.9709466666666667
0.01,16,32,0.3,0.04943969325852134,0.9709066666666667
0.01,16,64,0.0,0.051298587114134174,0.97008
0.01,16,64,0.1,0.049292782742561436,0.9706000000000001
0.01,16,64,0.2,0.05148665082072529,0.9701066666666666
0.01,16,64,0.3,0.04723359764183134,0.9705199999999999
0.01,16,128,0.0,0.04810455844824668,0.9698533333333332
0.01,16,128,0.1,0.05190904034179946,0.97072
0.01,16,128,0.2,0.04791847650631835,0.9703999999999999
0.01,16,128,0.3,0.05250094001272694,0.9694266666666668
0.01,32,32,0.0,0.04733718214710554,0.97156
0.01,32,32,0.1,0.04841382068475088,0.9708133333333333
0.01,32,32,0.2,0.05243306192139785,0.9711466666666666
0.01,32,32,0.3,0.05009522711157799,0.97028
0.01,32,64,0.0,0.0463991943915685,0.969
0.01,32,64,0.1,0.04843181987384955,0.97148
0.01,32,64,0.2,0.04840629714806875,0.9706666666666667
0.01,32,64,0.3,0.04842160401364167,0.97104
0.01,32,128,0.0,0.04796286695659161,0.9712400000000001
0.01,32,128,0.1,0.0486543069177866,0.9709866666666667
0.01,32,128,0.2,0.047207935805022715,0.9712
0.01,32,128,0.3,0.05015423543274402,0.9712
0.01,64,32,0.0,0.04645070599814256,0.9716400000000001
0.01,64,32,0.1,0.04683711744228999,0.9715333333333334
0.01,64,32,0.2,0.04867600161910057,0.9708933333333333
0.01,64,32,0.3,0.04790698952317238,0.9716400000000001
0.01,64,64,0.0,0.04708736904064814,0.97136
0.01,64,64,0.1,0.047829506587187445,0.9713066666666667
0.01,64,64,0.2,0.04722965592940648,0.9711466666666666
0.01,64,64,0.3,0.049733387655019765,0.9712
0.01,64,128,0.0,0.04564481867829959,0.9716000000000001
0.01,64,128,0.1,0.046866116568247476,0.97104
0.01,64,128,0.2,0.051189459378719326,0.9713733333333334
0.01,64,128,0.3,0.04919510535399119,0.9714
0.005,16,32,0.0,0.04700836612158765,0.9716666666666667
0.005,16,32,0.1,0.04854042699242631,0.97108
0.005,16,32,0.2,0.046540223129746594,0.9713733333333332
0.005,16,32,0.3,0.04890865730130968,0.9713466666666667
0.005,16,64,0.0,0.04674707327539722,0.9706533333333333
0.005,16,64,0.1,0.048042402530849605,0.9714666666666666
0.005,16,64,0.2,0.04668172135453748,0.9707999999999999
0.005,16,64,0.3,0.046845884947966356,0.9709466666666667
0.005,16,128,0.0,0.048799507561476496,0.9703466666666667
0.005,16,128,0.1,0.046626140331835486,0.9712133333333334
0.005,16,128,0.2,0.04672528979536689,0.9709866666666667
0.005,16,128,0.3,0.049335964272267115,0.9704933333333333
0.005,32,32,0.0,0.04556149826387564,0.9718133333333334
0.005,32,32,0.1,0.04655368441979091,0.9718
0.005,32,32,0.2,0.04679819688975811,0.9715866666666667
