Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2001-12-03,74.12592954608375,74.40638860370196,73.70850280583146,73.94330596923828,15220400,3,0,49,12,2001
2001-12-04,74.30201530981455,75.20209559052425,73.93024453442698,75.19557189941406,17239900,4,1,49,12,2001
2001-12-05,75.40429295079325,76.96312188581473,75.37167946802121,76.57178497314453,25204000,5,2,49,12,2001
2001-12-06,76.53266143798828,76.92400339652097,76.26524974085197,76.53266143798828,17972900,6,3,49,12,2001
2001-12-07,76.24568656467163,76.36960687858499,75.46300759368457,76.02392578125,18857800,7,4,49,12,2001
2001-12-10,75.56083721431631,75.91304197746835,74.58249230871155,74.60205841064453,13862700,10,0,50,12,2001
2001-12-11,74.9411986758075,75.47602686752064,74.28896893098084,74.4520263671875,20833300,11,1,50,12,2001
2001-12-12,74.7129395824271,74.8629496779142,73.773726902051,74.53683471679688,16171500,12,2,50,12,2001
2001-12-13,73.99545845502894,74.15851588218952,73.07581715342444,73.08885955810547,19026700,13,3,50,12,2001
2001-12-14,73.26497754773072,74.02156155829748,73.04974051088553,73.78675842285156,16721900,14,4,50,12,2001
2001-12-17,73.69544132849165,74.58899791703446,73.63674303692434,74.54986572265625,13925900,17,0,51,12,2001
2001-12-18,74.76510850802069,75.10427082841424,74.5759612478241,74.99339294433594,13663700,18,1,51,12,2001
2001-12-19,74.41288167016701,75.60646317670998,74.35418338760796,75.52167510986328,20143400,19,2,51,12,2001
2001-12-20,75.33253146501342,75.52820236835667,74.71291523128943,74.77813720703125,14867900,20,3,51,12,2001
2001-12-21,75.28405614019452,75.31023566903202,74.74084215159426,75.23169708251953,14037700,21,4,51,12,2001
2001-12-24,75.15313856451321,75.29057730040223,75.00915370027721,75.08769226074219,5728800,24,0,52,12,2001
2001-12-26,75.03532480414295,76.05630100950593,75.03532480414295,75.5,10304800,26,2,52,12,2001
2001-12-27,75.46076434776262,75.97125266101655,75.42803868943223,75.95816040039062,9407300,27,3,52,12,2001
2001-12-28,76.10868208722516,76.4097391325852,75.86652522774189,75.91888427734375,10593800,28,4,52,12,2001
2001-12-31,76.01706410902344,76.17413628084026,74.76047674802022,74.80628967285156,14619500,31,0,1,12,2001
2002-01-02,75.33640482354343,75.75526724079407,74.485587729809,75.61128234863281,18651900,2,2,1,1,2002
2002-01-03,75.68980085240557,76.54061272728218,75.61780842541637,76.46862030029297,15743000,3,3,1,1,2002
2002-01-04,76.68460249246849,77.2147290336344,76.27883241606854,76.97911834716797,20140700,4,4,1,1,2002
2002-01-07,77.03150407025979,77.22130192314033,76.28540492072104,76.4359359741211,13106500,7,0,2,1,2002
2002-01-08,76.43592687168204,76.61263244153601,75.89925903867365,76.25921630859375,12683700,8,1,2,1,2002
2002-01-09,76.36390896360433,77.08382825669813,75.48691255718511,75.63744354248047,16610300,9,2,2,1,2002
2002-01-10,75.71603109680221,76.14798095489054,75.4607868640146,75.97127532958984,12823400,10,3,2,1,2002
2002-01-11,76.05631440001282,76.1021273149031,75.06805867225609,75.22513580322266,13708400,11,4,2,1,2002
2002-01-14,75.03533749555359,75.15968398183328,74.58374948530846,74.75391387939453,12301100,14,0,3,1,2002
2002-01-15,74.9698813004719,75.51963620284442,74.54447286797934,75.36256408691406,20219900,15,1,3,1,2002
2002-01-16,74.80629194688176,74.87173827102541,73.7525896504953,73.8376693725586,17067000,16,2,3,1,2002
2002-01-17,74.45287949411166,74.76702386286226,74.21726872093134,74.39397430419922,17283400,17,3,3,1,2002
2002-01-18,73.95548553459399,74.5117868607647,73.7395081395236,74.05365753173828,17028000,18,4,3,1,2002
2002-01-22,74.44633075491896,74.5641361373814,73.31408985718359,73.54315948486328,11689300,22,1,4,1,2002
2002-01-23,73.7133148921046,74.31543403238123,73.31408583970529,74.10600280761719,12438900,23,2,4,1,2002
2002-01-24,74.3743192766004,74.77354824876582,74.16488809392618,74.33505249023438,12142800,24,3,4,1,2002
2002-01-25,74.034021228567,74.72776132624861,73.981662166378,74.31544494628906,12810700,25,4,4,1,2002
2002-01-28,74.54449007111045,74.73428787689211,73.90310421042639,74.518310546875,10589200,28,0,5,1,2002
2002-01-29,74.51176174572153,74.69501341556503,72.02476695133578,72.17529296875,27720800,29,1,5,1,2002
2002-01-30,72.2472894223891,74.21070883959668,70.94488927374688,73.21591186523438,34711800,30,2,5,1,2002
2002-01-31,73.39917370682377,74.1518189195982,73.05230369401293,74.07328033447266,19909200,31,3,5,1,2002
2002-02-01,74.01436707697391,74.15181083426572,73.41225296970121,73.72640228271484,15838500,1,4,5,2,2002
2002-02-04,73.45156340105576,73.45156340105576,71.62558172943355,71.89391326904297,24243400,4,0,6,2,2002
2002-02-05,71.59940653902613,72.31278030350657,71.0300127595584,71.4488754272461,33614000,5,1,6,2,2002
2002-02-06,71.7629878919503,71.82188808361916,70.72237290002522,71.1412353515625,29486000,6,2,6,2,2002
2002-02-07,71.15433177579295,71.90043087333233,70.68311024192923,70.69619750976562,23445400,7,3,6,2,2002
2002-02-08,71.09542639312205,72.48291146201353,70.87945401838697,72.05095672607422,19277800,8,4,6,2,2002
